id,name,slug,batch,website,yc_url,location,region,teamSize,oneLiner,github_org,stage,commit_velocity_30d,commit_velocity_90d,acceleration_ratio,active_repos,contributors,commits_per_employee,stabilized_efficiency,total_stars,total_forks,pr_merge_rate,issue_close_rate,founder_linkedin,founder_twitter,last_scored,open_jobs,hiring_intensity,best_headcount,log_commit,log_eff,log_accel,log_repos,log_contrib,log_stars,log_forks,log_pr,log_issues,log_hiring,log_commit_z,log_eff_z,log_accel_z,log_repos_z,log_contrib_z,log_stars_z,log_forks_z,log_pr_z,log_issues_z,log_hiring_z,raw_score,final_score
30288,Harper,harper,W25,https://www.harperinsure.com/,https://www.ycombinator.com/companies/harper,"San Francisco, CA, USA",United States of America,25.0,AI-native commercial insurance brokerage,HarperFast,Series A (low traction),368,500,2.79,5,15,20.0,100.0,82,12,0.94,0.73,https://linkedin.com/in/dakotahrice,,2026-03-23T09:06:09.198840+00:00,22.0,88.0,25.0,6.2166061010848646,4.61512051684126,1.332366019094335,1.791759469228055,2.772588722239781,4.418840607796598,2.5649493574615367,0.6626879730752367,0.5481214085096876,4.48863636973214,2.243701829516125,1.9057865390511277,0.4488862130451826,0.6708396838285234,0.40779590297333573,-0.35519109007971894,-0.6559417064894908,0.8590519335819472,1.0156541676095918,1.0096517006719774,1.0595,100.0
29231,Ubicloud,ubicloud,W24,https://www.ubicloud.com,https://www.ycombinator.com/companies/ubicloud,Unknown,Remote,15.0,Open source alternative to AWS,ubicloud,Series B/C,183,320,1.34,5,33,21.33,82.62,11914,551,0.6,1.0,https://linkedin.com/in/umurc,https://x.com/UbicloudHQ,2026-03-23T09:06:09.198840+00:00,16.0,106.7,15.0,5.771441123130016,4.426282725928419,0.8501509293696101,1.791759469228055,3.5263605246161616,9.385553389532843,6.313548046277095,0.4700036292457356,0.6931471805599453,4.679349584162343,1.385203624624055,1.5522171110839396,-0.152756702867916,0.6708396838285234,1.4659260109745853,1.4327501990344234,1.0758994043811196,-1.618389379073464,1.6040640429293662,1.1930087918339924,0.9847,96.0
29453,Miden,miden,W24,http://www.miden.co,https://www.ycombinator.com/companies/miden,"15a Ajanaku St, Opebi, Ikeja 101233, Lagos, Nigeria",Nigeria,19.0,Card issuer processor and banking stack for businesses in Sub-…,0xMiden,Series A,434,500,6.58,5,48,26.32,114.71,1019,553,0.76,0.23,https://linkedin.com/in/okiemute-d-avworhokai-5b52a7a6,https://x.com/TyrusTechHQ,2026-03-23T09:06:09.198840+00:00,1.0,5.3,19.0,6.2166061010848646,4.751087060888246,2.0255131996542803,1.791759469228055,3.8918202981106265,6.927557906278317,6.317164686747284,0.5653138090500605,0.20701416938432615,1.840549633397487,2.243701829516125,2.160362770688772,1.3137017274395804,0.6708396838285234,1.9789512904804876,0.5479090966603624,1.0775702811992223,-0.3929375739554105,-0.36831273156244937,-1.5362939621375329,0.8543,89.0
29226,Greptile,greptile,W24,https://www.greptile.com,https://www.ycombinator.com/companies/greptile,"San Francisco, CA, USA",United States of America,20.0,AI code review agent with complete context of your codebase,greptileai,Series A (low traction),251,328,3.26,4,62,16.4,73.34,7,5,0.43,1.0,https://linkedin.com/in/dakshg,https://x.com/greptileai,2026-03-23T09:06:09.198840+00:00,19.0,95.0,20.0,5.796057750765372,4.308649164869106,1.449269160281279,1.6094379124341003,4.143134726391533,2.0794415416798357,1.791759469228055,0.3576744442718159,0.6931471805599453,4.564348191467836,1.4326766552576402,1.3319665421039113,0.5947421769953448,-0.017683667358093024,2.3317415677245865,-1.1973392806104888,-1.0131530662830601,-3.062663251773506,1.6040640429293662,1.0824431925542295,0.6115,76.0
28416,Pierre,pierre,W23,https://pierre.co,https://www.ycombinator.com/companies/pierre,"San Francisco, CA, USA",United States of America,10.0,"Pierre is a new, opinionated, git platform.",pierrecomputer,Pre-A,117,213,1.22,5,10,21.3,67.36,2164,59,0.95,0.54,https://linkedin.com/in/jacob-thornton-13a6a5162,https://x.com/fat,2026-03-23T09:06:09.198840+00:00,5.0,50.0,10.0,5.365976015021851,4.224787858247391,0.7975071958841881,1.791759469228055,2.3978952727983707,7.68017564043659,4.0943445622221,0.6678293725756554,0.43178241642553783,3.9318256327243257,0.603266399785731,1.174949273116125,-0.21843844944453583,0.6708396838285234,-0.11819143016230878,0.8188400687047547,0.050634192999397254,0.9251575406803325,0.5436345337245181,0.4743180722678737,0.5699,73.8
27881,Inkeep,inkeep,W23,https://inkeep.com,https://www.ycombinator.com/companies/inkeep,"San Francisco, CA, USA",United States of America,17.0,Build AI Agent teammates and automations in code or no-code,inkeep,Series A,214,245,6.9,5,16,14.41,59.42,1026,113,0.73,0.0,https://linkedin.com/in/edwinngomez,https://x.com/nickgomez,2026-03-23T09:06:09.198840+00:00,11.0,64.7,17.0,5.5053315359323625,4.101320175958526,2.066862759472976,1.791759469228055,2.833213344056216,6.934397209928558,4.736198448394496,0.5481214085096876,0.0,4.185098925490565,0.8720127533131359,0.9437752184510961,1.365292128219541,0.6708396838285234,0.49289956090789977,0.550371142267272,0.3471687221721232,-0.6139890746426067,-1.2082267680458811,0.7178221963496315,0.5095,70.5
25814,Duplo,duplo,W22,https://www.tryduplo.com/,https://www.ycombinator.com/companies/duplo,Unknown,Nigeria,13.0,Venmo for B2B in Africa,duplocloud,Pre-A,216,250,6.35,5,19,19.23,69.34,78,17,0.84,0.0,https://linkedin.com/in/yelew,https://x.com/tryduplo,2026-03-23T09:06:09.198840+00:00,5.0,38.5,13.0,5.5254529391317835,4.253340627045836,1.9947003132247452,1.791759469228055,2.995732273553991,4.3694478524670215,2.8903717578961645,0.6097655716208943,0.0,3.676300671907076,0.9108167684132737,1.2284098970841602,1.27525756583164,0.6708396838285234,0.7210404543183169,-0.37297173303568054,-0.5055975543794232,0.17860150817562134,-1.2082267680458811,0.22864913068603235,0.4555,67.6
28115,Vellum,vellum,W23,https://www.vellum.ai/,https://www.ycombinator.com/companies/vellum,"New York, NY, USA",United States of America,23.0,The AI Product Development Platform,vellum-ai,Series A (low traction),109,282,0.63,5,19,12.26,58.8,97,27,0.8,0.0,https://linkedin.com/in/akash-sharma53,,2026-03-23T09:06:09.198840+00:00,24.0,104.3,23.0,5.645446897643238,4.091005660956586,0.48858001481867097,1.791759469228055,2.995732273553991,4.584967478670572,3.332204510175204,0.5877866649021191,0.0,4.6568134191399295,1.1422244556335053,0.9244628914461794,-0.6038760974600156,0.6708396838285234,0.7210404543183169,-0.2953879356152325,-0.3014721763257576,-0.10399255437195801,-1.2082267680458811,1.1713418838706267,0.416,65.5
26254,Eventual,eventual,W22,https://www.daft.ai/,https://www.ycombinator.com/companies/eventual,"San Francisco, CA, USA",United States of America,18.0,Building the AI data engine for any modality and scale,Eventual-Inc,Series B/C,114,172,1.97,4,25,9.56,40.54,5335,421,0.59,0.36,https://linkedin.com/in/sammy-sidhu,https://x.com/daftengine,2026-03-23T09:06:09.198840+00:00,21.0,116.7,18.0,5.153291594497779,3.7266568184479665,1.0885619528146082,1.6094379124341003,3.258096538021482,8.58223158759546,6.045005314036012,0.46373401623214017,0.3074846997479606,4.768139014266231,0.19310566776393887,0.24227628460465536,0.14470039954909322,-0.017683667358093024,1.0893422754018727,1.1435665314362082,0.9518334847327364,-1.6990010052468258,0.03932414158648914,1.2783734671577376,0.3665,62.9
27664,Infisical,infisical,W23,https://infisical.com,https://www.ycombinator.com/companies/infisical,"San Francisco, CA, USA",United States of America,40.0,"Unified platform for secrets, certs, and privileged access management",Infisical,Series B/C,137,224,1.57,5,18,5.6,35.42,25535,1785,0.63,0.14,https://linkedin.com/in/vmatsiiako,https://x.com/infisical,2026-03-23T09:06:09.198840+00:00,19.0,47.5,40.0,5.41610040220442,3.595118074299462,0.9439058989071285,1.791759469228055,2.9444389791664403,10.147844500249535,7.487733761436444,0.48858001481867097,0.1310282624064041,3.8815637979434374,0.6999310040303062,-0.004009579571627077,-0.035781903746435695,0.6708396838285234,0.649035931253208,1.7071634399584545,1.6183696078139906,-1.3795432738656166,-0.6766086807503278,0.4259949193630063,0.302,59.4
