id,name,slug,batch,website,yc_url,location,region,teamSize,oneLiner,github_org,stage,commit_velocity_30d,commit_velocity_90d,acceleration_ratio,active_repos,contributors,commits_per_employee,stabilized_efficiency,total_stars,total_forks,pr_merge_rate,issue_close_rate,founder_linkedin,founder_twitter,last_scored,open_jobs,hiring_intensity,best_headcount,log_commit,log_eff,log_accel,log_repos,log_contrib,log_stars,log_forks,log_pr,log_issues,log_hiring,log_commit_z,log_eff_z,log_accel_z,log_repos_z,log_contrib_z,log_stars_z,log_forks_z,log_pr_z,log_issues_z,log_hiring_z,raw_score,final_score
30288,Harper,harper,W25,https://www.harperinsure.com/,https://www.ycombinator.com/companies/harper,"San Francisco, CA, USA",United States of America,25.0,AI-native commercial insurance brokerage,HarperFast,Series A (low traction),396,500,3.81,5,15,20.0,100.0,80,9,0.94,0.66,https://linkedin.com/in/dakotahrice,,2026-03-09T08:55:10.718847+00:00,23.0,92.0,25.0,6.2166061010848646,4.61512051684126,1.5706970841176697,1.791759469228055,2.772588722239781,4.394449154672439,2.302585092994046,0.6626879730752367,0.5068176023684519,4.532599493153256,2.099469946039403,1.8392285258036531,0.6381833613939321,0.704709545645273,0.4160280203495629,-0.2982901170536945,-0.7148909074918843,0.6085903963928371,0.7252243561771995,0.9205579778161712,0.9849,100.0
27881,Inkeep,inkeep,W23,https://inkeep.com,https://www.ycombinator.com/companies/inkeep,"San Francisco, CA, USA",United States of America,17.0,Build AI Agent teammates and automations in code or no-code,inkeep,Series A,202,203,202.0,3,18,11.94,49.23,987,104,0.62,1.0,https://linkedin.com/in/edwinngomez,https://x.com/inkeep_ai,2026-03-09T08:55:10.718847+00:00,11.0,64.7,17.0,5.318119993844216,3.9166124577619534,5.313205979041787,1.3862943611198906,2.9444389791664403,6.895682697747868,4.653960350157523,0.4824261492442927,0.6931471805599453,4.185098925490565,0.5640220758682147,0.6362909990525266,4.917133921920429,-0.7479486612530053,0.6428958958978066,0.5764393602217011,0.34525006385506435,-0.9314105833111403,1.4746928631161567,0.604910881495371,0.8455,93.0
25814,Duplo,duplo,W22,https://www.tryduplo.com/,https://www.ycombinator.com/companies/duplo,Unknown,Nigeria,13.0,Venmo for B2B in Africa,duplocloud,Pre-A,230,289,3.9,5,20,22.23,80.15,71,7,0.9,0.8,https://linkedin.com/in/yelew,https://x.com/tryduplo,2026-03-09T08:55:10.718847+00:00,5.0,38.5,13.0,5.66988092298052,4.396299293960601,1.589235205116581,1.791759469228055,3.044522437723423,4.276666119016055,2.0794415416798357,0.6418538861723948,0.5877866649021191,3.676300671907076,1.165156100200005,1.4623849701263223,0.6593786893053725,0.704709545645273,0.7750209332786557,-0.3394811099926977,-0.8154974017208944,0.4306019928598494,1.050904063040428,0.1427513735644,0.6824,84.9
29453,Miden,miden,W24,http://www.miden.co,https://www.ycombinator.com/companies/miden,"15a Ajanaku St, Opebi, Ikeja 101233, Lagos, Nigeria",Nigeria,19.0,Card issuer processor and banking stack for businesses in Sub-…,0xMiden,Series A,307,407,3.07,5,42,21.42,93.37,991,506,0.75,0.33,https://linkedin.com/in/okiemute-d-avworhokai-5b52a7a6,https://x.com/TyrusTechHQ,2026-03-09T08:55:10.718847+00:00,1.0,5.3,19.0,6.0112671744041615,4.547223226033242,1.4036429994545037,1.791759469228055,3.7612001156935624,6.899723107284872,6.2285110035911835,0.5596157879354227,0.2851789422336624,1.840549633397487,1.7485605495620264,1.72229902439553,0.44718417093718127,0.704709545645273,1.721141964237156,0.5778523691476635,1.0551519198352053,-0.27196912931354483,-0.16626693201998036,-1.5247264345176295,0.6323,82.4
29231,Ubicloud,ubicloud,W24,https://www.ubicloud.com,https://www.ycombinator.com/companies/ubicloud,Unknown,Remote,15.0,Open source alternative to AWS,ubicloud,Series B/C,131,229,1.34,5,21,15.27,59.13,11925,553,0.7,0.0,https://linkedin.com/in/umurc,https://x.com/umurc,2026-03-09T08:55:10.718847+00:00,16.0,106.7,15.0,5.438079308923196,4.0965088850514775,0.8501509293696101,1.791759469228055,3.091042453358316,9.386476169683052,6.317164686747284,0.5306282510621704,0.0,4.679349584162343,0.7690238820852141,0.9461001136392119,-0.18564403870285132,0.704709545645273,0.8364342666440133,1.4475177438211353,1.0951223165161543,-0.519613551384185,-1.3133346070545804,1.0538562927610664,0.5487,78.2
29226,Greptile,greptile,W24,https://www.greptile.com,https://www.ycombinator.com/companies/greptile,"San Francisco, CA, USA",United States of America,20.0,AI code review agent with complete context of your codebase,greptileai,Series A (low traction),277,309,8.66,4,70,15.45,69.09,46,6,0.03,1.0,https://linkedin.com/in/dakshg,https://x.com/soohoonchoi,2026-03-09T08:55:10.718847+00:00,20.0,100.0,20.0,5.736572297479192,4.249780130512233,2.2679936482244267,1.6094379124341003,4.2626798770413155,3.8501476017100584,1.9459101490553132,0.0295588022415444,0.6931471805599453,4.61512051684126,1.2791268428832294,1.2100565999532704,1.4354286339127311,0.05150683972820668,2.38316976752382,-0.4886428389021122,-0.875701361021309,-4.800317172840797,1.4746928631161567,0.9955147518086149,0.5378,77.6
27664,Infisical,infisical,W23,https://infisical.com,https://www.ycombinator.com/companies/infisical,"San Francisco, CA, USA",United States of America,40.0,"Unified platform for secrets, certs, and privileged access management",Infisical,Series B/C,155,282,1.22,4,14,7.05,44.59,25392,1778,0.75,0.28,https://linkedin.com/in/vmatsiiako,https://x.com/dangtony98,2026-03-09T08:55:10.718847+00:00,22.0,55.0,40.0,5.645446897643238,3.8196883942253503,0.7975071958841881,1.6094379124341003,2.70805020110221,10.142228824473392,7.483806687665835,0.5596157879354227,0.2468600779315258,4.02535169073515,1.1234001154813789,0.4693729631646218,-0.24583359047951356,0.05150683972820668,0.3308275822276993,1.7118189829055142,1.6211144907979953,-0.27196912931354483,-0.32039588081523895,0.4598067996949379,0.5132,76.4
25643,Mintlify,mintlify,W22,https://mintlify.com,https://www.ycombinator.com/companies/mintlify,"San Francisco, CA, USA",United States of America,35.0,The intelligent documentation platform,mintlify,Series B/C,155,219,2.42,5,15,6.26,37.02,2185,755,0.93,0.41,https://linkedin.com/in/han-y-wang,https://x.com/hahnbeeIee,2026-03-09T08:55:10.718847+00:00,24.0,68.6,35.0,5.393627546352361,3.6381123370602833,1.2296405510745139,1.791759469228055,2.772588722239781,7.689828668736484,6.628041376179533,0.6575200029167942,0.3435897043900769,4.242764567340374,0.6930590300805939,0.15667126948442367,0.24824065605646745,0.704709545645273,0.4160280203495629,0.8541674804151879,1.2352841705204365,0.5644397329969851,0.06867712317207442,0.6572906301956251,0.5084,76.2
25561,LanceDB,lancedb,W22,https://lancedb.com,https://www.ycombinator.com/companies/lancedb,"San Francisco, CA, USA",United States of America,35.0,"Open-source, serverless vectordb for production-scale generative AI",lancedb,Series B/C,143,261,1.21,5,38,7.46,44.12,9368,794,0.78,0.36,https://linkedin.com/in/changshe,https://x.com/changhiskhan,2026-03-09T08:55:10.718847+00:00,8.0,22.9,35.0,5.568344503761097,3.8093256071898036,0.7929925155296614,1.791759469228055,3.6635616461296463,9.145161645951188,6.678342114654332,0.5766133643039938,0.3074846997479606,3.173878458937465,0.991637692537509,0.4515266616871268,-0.25099539358432393,0.704709545645273,1.5922446756447919,1.3631254135698019,1.2579627598199048,-0.12675655072151987,-0.07654707679011057,-0.31361655042951214,0.4943,75.5
26254,Eventual,eventual,W22,https://www.daft.ai/,https://www.ycombinator.com/companies/eventual,"San Francisco, CA, USA",United States of America,18.0,Building the AI data engine for any modality and scale,Eventual-Inc,Series B/C,114,194,1.43,5,25,10.78,45.73,5303,415,0.68,0.2,https://linkedin.com/in/sammy-sidhu,https://x.com/daftengine,2026-03-09T08:55:10.718847+00:00,21.0,116.7,18.0,5.272999558563747,3.844386356712335,0.8878912573524571,1.791759469228055,3.258096538021482,8.576216531865699,6.030685260261263,0.5187937934151676,0.18232155679395462,4.768139014266231,0.4869145104932081,0.5119066254806239,-0.14249410850611058,0.704709545645273,1.056970482108406,1.1641543644168033,0.9659602116838624,-0.6207169130573787,-0.5799874579899252,1.1345068827292397,0.4856,75.0
