id,name,slug,batch,website,yc_url,location,region,teamSize,oneLiner,github_org,commit_velocity_30d,commit_velocity_90d,acceleration_ratio,active_repos,contributors,commits_per_employee,stabilized_efficiency,total_stars,total_forks,pr_merge_rate,issue_close_rate,founder_linkedin,founder_twitter,open_jobs,hiring_intensity,best_headcount,log_commit,log_eff,log_accel,log_repos,log_contrib,log_stars,log_forks,log_pr,log_issues,log_hiring,log_commit_z,log_eff_z,log_accel_z,log_repos_z,log_contrib_z,log_stars_z,log_forks_z,log_pr_z,log_issues_z,log_hiring_z,raw_score,final_score
27152,Firecrawl,firecrawl,S22,https://www.firecrawl.dev,https://www.ycombinator.com/companies/firecrawl,"San Francisco, CA, USA",United States of America,15.0,The web data API for AI,firecrawl,400,401,400.0,5,41,26.73,103.54,87716,6287,0.74,0.12,https://linkedin.com/in/caleb-peffer,https://x.com/nickscamara_,4.0,26.7,15.0,5.996452088619021,4.649569773284776,5.993961427306569,1.791759469228055,3.7376696182833684,11.381871002220599,8.746398334109042,0.5538851132264376,0.11332868530700317,3.3214324131932926,1.827040454088437,1.9345393689451267,4.679808572489108,0.7479151931623653,1.6067087542884035,2.0177340258641716,2.0187689718289135,-0.3429669176805186,-0.5728555199322594,-0.23959473495252107,1.3491,100.0
29231,Ubicloud,ubicloud,W24,https://www.ubicloud.com,https://www.ycombinator.com/companies/ubicloud,Unknown,Remote,15.0,Open source alternative to AWS,ubicloud,186,325,1.34,5,34,21.67,83.91,11908,553,0.82,1.0,https://linkedin.com/in/umurc,https://x.com/UbicloudHQ,16.0,106.7,15.0,5.786897381366708,4.441591872011272,0.8501509293696101,1.791759469228055,3.5553480614894135,9.385049695767997,6.317164686747284,0.598836501088704,0.6931471805599453,4.679349584162343,1.4749294077191075,1.5972271596556673,-0.1342993474425442,0.7479151931623653,1.3808743899232647,1.3874697165901146,1.0498461360073141,0.038171553999700604,1.6582588014739024,1.0244135676459896,1.1204,91.0
30288,Harper,harper,W25,https://www.harperinsure.com/,https://www.ycombinator.com/companies/harper,"San Francisco, CA, USA",United States of America,25.0,AI-native commercial insurance brokerage,HarperFast,330,450,2.75,5,17,18.0,90.0,83,15,0.92,0.4,https://linkedin.com/in/dakotahrice,,23.0,92.0,25.0,6.111467339502679,4.51085950651685,1.3217558399823195,1.791759469228055,2.8903717578961645,4.430816798843313,2.772588722239781,0.6523251860396903,0.33647223662121295,4.532599493153256,2.020298533890548,1.7095699551366401,0.30707712553792044,0.7479151931623653,0.5571950429463397,-0.17625366951006455,-0.3639415410428554,0.4916969422895868,0.2857903789871541,0.8878122068205728,0.9081,82.6
29226,Greptile,greptile,W24,https://www.greptile.com,https://www.ycombinator.com/companies/greptile,"San Francisco, CA, USA",United States of America,20.0,AI code review agent with complete context of your codebase,greptileai,291,371,3.64,4,63,18.55,82.96,4,5,0.42,1.0,https://linkedin.com/in/dakshg,https://x.com/greptileai,19.0,95.0,20.0,5.918893854273146,4.430340494952432,1.534714366238164,1.6094379124341003,4.1588830833596715,1.6094379124341003,1.791759469228055,0.35065687161316933,0.6931471805599453,4.564348191467836,1.6967207327700211,1.5789789379454433,0.5063856592166815,0.21901981013867375,2.1284488974742506,-1.066776226183976,-0.7551545733162299,-2.0661195297439203,1.6582588014739024,0.9173652746543686,0.7703,77.2
27664,Infisical,infisical,W23,https://infisical.com,https://www.ycombinator.com/companies/infisical,"San Francisco, CA, USA",United States of America,40.0,"Unified platform for secrets, certs, and privileged access management",Infisical,175,347,1.02,5,18,8.68,54.87,25278,1769,0.78,0.2,https://linkedin.com/in/vmatsiiako,https://x.com/matsiiako,21.0,52.5,40.0,5.8522024797744745,4.023027563471057,0.7030975114131134,1.791759469228055,2.9444389791664403,10.137729290516372,7.478734825567875,0.5766133643039938,0.18232155679395462,3.979681653901961,1.5846604027185383,0.9183720948680634,-0.2719270894290194,0.7479151931623653,0.6241659308834204,1.6250408419360882,1.5131493815119372,-0.1502562742136965,-0.30737419274154815,0.37313225843335607,0.7068,74.7
29453,Miden,miden,W24,http://www.miden.co,https://www.ycombinator.com/companies/miden,"15a Ajanaku St, Opebi, Ikeja 101233, Lagos, Nigeria",Nigeria,19.0,Card issuer processor and banking stack for businesses in Sub-…,0xMiden,353,405,6.79,5,41,21.32,92.91,1051,554,0.74,0.27,https://linkedin.com/in/okiemute-d-avworhokai-5b52a7a6,https://x.com/TyrusTechHQ,1.0,5.3,19.0,6.0063531596017325,4.542336876816522,2.052840859882657,1.791759469228055,3.7376696182833684,6.9584483932976555,6.318968113746434,0.5538851132264376,0.23901690047049992,1.840549633397487,1.8436770475088935,1.7606220200598357,0.9913018235234287,0.7479151931623653,1.6067087542884035,0.621552311340663,1.0505654499374961,-0.3429669176805186,-0.08921317464811464,-1.6180647689541192,0.6834,73.8
25814,Duplo,duplo,W22,https://www.tryduplo.com/,https://www.ycombinator.com/companies/duplo,Unknown,Nigeria,13.0,Venmo for B2B in Africa,duplocloud,299,340,7.29,5,21,26.15,94.3,71,11,0.9,0.0,https://linkedin.com/in/yelew,https://x.com/tryduplo,5.0,38.5,13.0,5.831882477283517,4.557029810660157,2.115049969147204,1.791759469228055,3.091042453358316,4.276666119016055,2.4849066497880004,0.6418538861723948,0.0,3.676300671907076,1.5505170640499222,1.784451984423322,1.0495235184560983,0.7479151931623653,0.8057577458615003,-0.22490883531358472,-0.4786862588915229,0.40291180310423025,-1.0089389751595421,0.09073205885537768,0.6791,73.6
26792,Activepieces,activepieces,S22,https://www.activepieces.com,https://www.ycombinator.com/companies/activepieces,"San Francisco, CA, USA",United States of America,10.0,"Open-source, AI-first and no-code business automation tool",activepieces,159,214,2.89,3,21,21.4,67.67,21062,3374,0.82,0.02,https://linkedin.com/in/ashrafsam,https://x.com/mabuaboud,4.0,40.0,10.0,5.3706380281276624,4.229312422632585,1.358409157630355,1.3862943611198906,3.091042453358316,9.955273225685358,8.12415060330663,0.598836501088704,0.019802627296179712,3.713572066704308,0.7754962222190352,1.252938417350732,0.3413810772196452,-0.4282958233877121,0.8057577458615003,1.567451539727633,1.770579574087197,0.038171553999700604,-0.9327393959400124,0.1254258925297158,0.5754,69.5
26254,Eventual,eventual,W22,https://www.daft.ai/,https://www.ycombinator.com/companies/eventual,"San Francisco, CA, USA",United States of America,18.0,Building the AI data engine for any modality and scale,Eventual-Inc,115,197,1.4,5,25,10.94,46.43,5281,409,0.68,0.29,https://linkedin.com/in/sammy-sidhu,https://x.com/daftengine,21.0,116.7,18.0,5.288267030694535,3.85925493988949,0.8754687373538999,1.791759469228055,3.258096538021482,8.572060092857077,6.016157159698354,0.5187937934151676,0.2546422183735807,4.768139014266231,0.6370897007098716,0.652754906007301,-0.11060433379821151,0.7479151931623653,1.0126809078172845,1.1308627138153255,0.9297864344513759,-0.6405028256504782,-0.029087685662325478,1.1070626269801567,0.5725,69.4
28845,Campfire,campfire-2,S23,https://meetcampfire.com/,https://www.ycombinator.com/companies/campfire-2,"California St, San Francisco, CA, USA",United States of America,45.0,A modern version of NetSuite,campfirein,197,200,65.67,4,28,4.44,29.81,3577,364,0.93,0.7,https://linkedin.com/in/johnglasgow,,5.0,11.1,45.0,5.303304908059076,3.4278393126085764,4.199755076629969,1.6094379124341003,3.367295829986474,8.182559264068665,5.8998973535824915,0.6575200029167942,0.5306282510621704,2.4932054526026954,0.6623575785038388,-0.04694327090983438,3.000605381343525,0.21901981013867375,1.1479416697572837,1.0079230847034362,0.883415110245411,0.535743292343665,1.0328935982754381,-1.010544375331069,0.5715,69.4
